Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,317699
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,69026
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,138053
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,195575
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,86725
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,265486
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,51327
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,181415
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,396460
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,238938
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,234513
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,199115
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,108849
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,236283
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,127433
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,508849
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,279646
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,295575
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,108407
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,265486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,312389
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,290000
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,201769
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,360176
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,233628
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,296460
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,387610
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,199115
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,309734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,163716
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,215486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,209734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,222123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,246017
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,201769
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,455752
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,357522
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,284070
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,380530
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,130088
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,209734
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,202654
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,121238
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,327433
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,333628
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,283185
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,184955
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,247787
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,432743
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,35840
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,246017
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,247787
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,407079
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,152212
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,141884
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,203539
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,257654
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,309734
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,153097
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,159292
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,274336
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,256637
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,221238
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,168141
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,345902
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,178761
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,160176
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,178761
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,408849
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,165486
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,140380
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,340707
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,268141
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,309734
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,362831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,262831
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,99115
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,392920
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,269911
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,376867
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,70353
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,297787
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,325221
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,107964
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,335398
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,149292
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,92920
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,230088
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,247787
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,228318
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,231858
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,334513
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,74336
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,384955
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,68141
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,74778
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,207079
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,300884
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,210619
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,529203
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,193805
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,165486
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,243362
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,237168
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,274336
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,157964
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,189115
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,207964
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,264159
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,254867
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,402654
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,65486
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,346902
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,179646
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,188265
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,176991
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,184955
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,338053
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,88495
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,148672
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,273451
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,178318
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,294690
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,166371
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,147787
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,164601
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,49557
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,394690
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,162743
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,296460
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,84070
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,82743
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,207964
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,63716
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,262831
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,156637
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,241592
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,328318
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,292035
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,66371
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,159292
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,398230
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,180530
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,199115
Mixed,15 min - 20 min,Chilsung,1,7,3,56,2003,5,907,175221
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,106194
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,330973
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,141592
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,486725
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,151327
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,174336
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,464601
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,230088
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,256637
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,288495
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,132743
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,209911
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,119469
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,184070
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,274336
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,380530
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,389380
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,327433
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,314159
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,124778
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,291150
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,280530
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,35398
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,332743
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,171681
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,307964
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,205309
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,200221
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,146017
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,219469
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,279646
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,367256
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,283185
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,424778
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,380530
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,223008
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,305309
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,179646
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,163716
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,151327
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,202654
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,159292
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,279646
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,119469
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,268849
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,265486
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,213274
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,107345
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,349557
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,245132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,221238
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,132743
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,369026
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,144247
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,216814
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,150442
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,128318
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,141592
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,243362
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,212389
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,227433
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,92920
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,278761
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1448,341592
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,194690
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,260176
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,371681
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,415929
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,338938
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,252212
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,92920
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,79646
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,305309
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,307079
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,75221
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,78318
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,194690
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,117699
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,96460
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,219469
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,98230
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,274336
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,261061
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,284955
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,192920
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,137168
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,287610
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,92035
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,196460
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,146017
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,198230
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,393805
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,200318
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,237610
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,149557
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,448672
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,214601
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,238938
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,252212
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,300000
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,260176
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,530973
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,251327
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,73053
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,225663
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,309734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,238938
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,252212
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,114159
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,238053
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,190265
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,68141
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,316371
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,318584
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,209442
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,173893
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,135840
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,433628
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,442477
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,192035
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,97345
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,105840
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,210619
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,307079
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,269911
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,1252,446902
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,250442
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,115044
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,97345
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,183185
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,52212
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,169026
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,134513
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,337168
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,119469
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,265486
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,345132
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,124778
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,267256
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,250176
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,128318
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,86725
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1448,265486
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,242477
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,101769
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,230088
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,234513
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,226548
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,53097
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,185840
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,247787
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,386725
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,243362
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,240707
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,112831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,181858
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,256637
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,163716
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,345132
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,265486
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,296460
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,327433
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,201566
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,48672
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,161061
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,433628
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,203539
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,106194
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,287610
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,420353
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,100000
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,167256
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,262831
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,187610
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,191150
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,228318
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,373893
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1448,323008
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,265486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,526548
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,191150
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,187610
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,327433
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,65044
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,167256
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,115044
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,234513
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,63716
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,37168
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,498,44690
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,178761
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,345132
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,238938
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,330088
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,158407
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,318584
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,57522
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,451,53982
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,184070
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,57522
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,162831
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,318584
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,491150
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,305309
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,274336
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,181415
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,260176
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,56637
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,146902
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,210619
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,212389
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,268141
